PairedTagName,ATACName,DNAmethName,AllenIdName,all,H3K4me1,H3K9me3,H3K27ac,H3K27me3,ATAC,DNAMeth,HiC
080_CEA_AAA_BST_Six3_Sp9_Gaba,080_CEA-AAA-BST_Six3_Sp9_Gaba,080_CEA-AAA-BST_Six3_Sp9_Gaba,080 CEA-AAA-BST Six3 Sp9 Gaba,all-male7681:3727:3954_female6288:4832:1456,H3K4me1-male1737:432:1305_female1397:923:474,H3K9me3-male3412:2005:1407_female1412:948:464,H3K27ac-male853:492:361_female2164:2044:120,H3K27me3-male1679:798:881_female1315:917:398,1,1,1
081_ACB_BST_FS_D1_Gaba,081_ACB-BST-FS_D1_Gaba,081_ACB-BST-FS_D1_Gaba,081 ACB-BST-FS D1 Gaba,all-male1233:520:713_female1331:894:437,H3K4me1-male365:117:248_female399:208:191,H3K9me3-male429:127:302_female384:258:126,H3K27ac-male154:89:65_female181:148:33,H3K27me3-male285:187:98_female367:280:87,1,1,1
082_CEA_BST_Ebf1_Pdyn_Gaba,082_CEA-BST_Ebf1_Pdyn_Gaba,082_CEA-BST_Ebf1_Pdyn_Gaba,082 CEA-BST Ebf1 Pdyn Gaba,all-male3634:1556:2078_female3347:2478:869,H3K4me1-male912:157:755_female756:509:247,H3K9me3-male1594:795:799_female797:541:256,H3K27ac-male398:246:152_female1041:957:84,H3K27me3-male730:358:372_female753:471:282,1,1,1
083_CEA_BST_Rai14_Pdyn_Crh_Gaba,083_CEA-BST_Rai14_Pdyn_Crh_Gaba,083_CEA-BST_Rai14_Pdyn_Crh_Gaba,083 CEA-BST Rai14 Pdyn Crh Gaba,all-male225:99:126_female211:153:58,H3K4me1-male60:14:46_female52:36:16,H3K9me3-male99:54:45_female47:30:17,H3K27ac-male20:11:9_female54:49:5,H3K27me3-male46:20:26_female58:38:20,1,1,1
084_BST_SI_AAA_Six3_Slc22a3_Gaba,084_BST-SI-AAA_Six3_Slc22a3_Gaba,084_BST-SI-AAA_Six3_Slc22a3_Gaba,084 BST-SI-AAA Six3 Slc22a3 Gaba,all-male211:86:125_female137:86:51,H3K4me1-male68:24:44_female41:29:12,H3K9me3-male62:14:48_female33:16:17,H3K27ac-male39:24:15_female26:21:5,H3K27me3-male42:24:18_female37:20:17,1,1,1
085_SI_MPO_LPO_Lhx8_Gaba,085_SI-MPO-LPO_Lhx8_Gaba,085_SI-MPO-LPO_Lhx8_Gaba,085 SI-MPO-LPO Lhx8 Gaba,all-male1718:805:913_female1158:756:402,H3K4me1-male543:202:341_female451:306:145,H3K9me3-male472:150:322_female294:145:149,H3K27ac-male283:190:93_female185:144:41,H3K27me3-male420:263:157_female228:161:67,1,1,1
086_MPO_ADP_Lhx8_Gaba,086_MPO-ADP_Lhx8_Gaba,086_MPO-ADP_Lhx8_Gaba,086 MPO-ADP Lhx8 Gaba,all-male2808:1331:1477_female5328:3846:1482,H3K4me1-male924:394:530_female2202:1742:460,H3K9me3-male577:121:456_female1150:653:497,H3K27ac-male557:392:165_female714:543:171,H3K27me3-male750:424:326_female1262:908:354,1,1,1
087_MPN_MPO_LPO_Lhx6_Zfhx3_Gaba,087_MPN-MPO-LPO_Lhx6_Zfhx3_Gaba,087_MPN-MPO-LPO_Lhx6_Zfhx3_Gaba,087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,all-male1082:524:558_female647:412:235,H3K4me1-male343:156:187_female274:186:88,H3K9me3-male255:55:200_female180:86:94,H3K27ac-male209:141:68_female68:45:23,H3K27me3-male275:172:103_female125:95:30,1,1,1
088_BST_Tac2_Gaba,088_BST_Tac2_Gaba,088_BST_Tac2_Gaba,088 BST Tac2 Gaba,all-male232:92:140_female159:95:64,H3K4me1-male65:21:44_female55:37:18,H3K9me3-male63:6:57_female47:19:28,H3K27ac-male41:26:15_female17:11:6,H3K27me3-male63:39:24_female40:28:12,1,1,1
089_PVR_Six3_Sox3_Gaba,089_PVR_Six3_Sox3_Gaba,089_PVR_Six3_Sox3_Gaba,089 PVR Six3 Sox3 Gaba,all-male794:367:427_female1861:1279:582,H3K4me1-male245:105:140_female749:575:174,H3K9me3-male199:35:164_female444:238:206,H3K27ac-male144:90:54_female246:163:83,H3K27me3-male206:137:69_female422:303:119,1,1,1
090_BST_MPN_Six3_Nrgn_Gaba,090_BST-MPN_Six3_Nrgn_Gaba,090_BST-MPN_Six3_Nrgn_Gaba,090 BST-MPN Six3 Nrgn Gaba,all-male1709:753:956_female1701:1100:601,H3K4me1-male565:201:364_female753:535:218,H3K9me3-male415:86:329_female431:201:230,H3K27ac-male295:197:98_female183:139:44,H3K27me3-male434:269:165_female334:225:109,1,1,1
091_ARH_PVi_Six6_Dopa_Gaba,091_ARH-PVi_Six6_Dopa-Gaba,091_ARH-PVi_Six6_Dopa-Gaba,091 ARH-PVi Six6 Dopa-Gaba,all-male172:75:97_female43:20:23,H3K4me1-male53:19:34_female19:9:10,H3K9me3-male42:2:40_female9:3:6,H3K27ac-male33:24:9_female4:4:0,H3K27me3-male44:30:14_female11:4:7,1,1,1
092_TMv_PMv_Tbx3_Hist_Gaba,092_TMv-PMv_Tbx3_Hist-Gaba,092_TMv-PMv_Tbx3_Hist-Gaba,092 TMv-PMv Tbx3 Hist-Gaba,all-male137:52:85_female120:75:45,H3K4me1-male40:5:35_female51:36:15,H3K9me3-male35:7:28_female24:10:14,H3K27ac-male23:18:5_female13:7:6,H3K27me3-male39:22:17_female32:22:10,0,0,0
093_RT_ZI_Gnb3_Gaba,093_RT-ZI_Gnb3_Gaba,093_RT-ZI_Gnb3_Gaba,093 RT-ZI Gnb3 Gaba,all-male1426:761:665_female966:600:366,H3K4me1-male405:191:214_female289:166:123,H3K9me3-male288:102:186_female213:85:128,H3K27ac-male307:220:87_female188:152:36,H3K27me3-male426:248:178_female276:197:79,1,1,1
