268_CS_PRNr_DR_En1_Sox2_Gaba,H3K9me3,Male-shufA
031_CT_SUB_Glut,H3K27ac,Male-shufA
101_ZI_Pax6_Gaba,H3K4me1,Male-shufA
037_DG_Glut,H3K9me3,Female-shufA
017_CA3_Glut,H3K27ac,Female-shufB
098_AHN_SBPV_PVHd_Pdrm12_Gaba,H3K27me3,Male-shufB
044_OB_Dopa_Gaba,H3K27ac,Male-shufB
013_COAp_Grxcr2_Glut,H3K4me1,Female-shufB
138_PH_Pitx2_Glut,H3K9me3,Male-shufA
116_AVPV_MEPO_SFO_Tbr1_Glut,H3K4me1,Male-shufB
041_OB_in_Frmd7_Gaba,H3K9me3,Female-shufB
191_PAG_MRN_Rln3_Gaba,H3K27me3,Female-shufB
008_L2_3_IT_ENT_Glut,H3K4me1,Female-shufB
191_PAG_MRN_Rln3_Gaba,H3K27ac,Male-shufA
044_OB_Dopa_Gaba,H3K27me3,Male-shufA
039_OB_Meis2_Thsd7b_Gaba,H3K27ac,Male-shufA
100_AHN_Onecut3_Gaba,H3K27me3,Female-shufA
203_LGv_SPFp_SPFm_Nkx2_2_Tcf7l2_Gaba,H3K27ac,Female-shufB
054_STR_Prox1_Lhx6_Gaba,H3K27me3,Female-shufB
134_PH_ant_LHA_Otp_Bsx_Glut,H3K27ac,Female-shufB
019_L2_3_IT_PPP_Glut,H3K9me3,Male-shufA
022_L5_ET_CTX_Glut,H3K27me3,Female-shufA
075_MEA_BST_Lhx6_Nr2e1_Gaba,H3K27ac,Female-shufA
015_ENTmv_PA_COAp_Glut,H3K4me1,Male-shufB
127_DMH_LHA_Vgll2_Glut,H3K27ac,Male-shufA
065_IA_Mgp_Gaba,H3K4me1,Female-shufA
020_L2_3_IT_RSP_Glut,H3K27ac,Female-shufB
127_DMH_LHA_Vgll2_Glut,H3K9me3,Male-shufB
081_ACB_BST_FS_D1_Gaba,H3K27ac,Male-shufA
084_BST_SI_AAA_Six3_Slc22a3_Gaba,H3K27me3,Male-shufB
138_PH_Pitx2_Glut,H3K27ac,Female-shufA
104_TU_ARH_Otp_Six6_Gaba,H3K9me3,Male-shufB
045_OB_STR_CTX_Inh_IMN,H3K27ac,Female-shufB
039_OB_Meis2_Thsd7b_Gaba,H3K4me1,Female-shufB
089_PVR_Six3_Sox3_Gaba,H3K27ac,Female-shufA
125_DMH_Hmx2_Glut,H3K4me1,Female-shufA
102_DMH_LHA_Gsx1_Gaba,H3K9me3,Male-shufB
096_PVHd_Gsc_Gaba,H3K27me3,Male-shufB
003_L5_6_IT_TPE_ENT_Glut,H3K27me3,Female-shufA
203_LGv_SPFp_SPFm_Nkx2_2_Tcf7l2_Gaba,H3K27me3,Male-shufB
010_IT_AON_TT_DP_Glut,H3K27me3,Female-shufB
122_LHA_MEA_Otp_Glut,H3K27ac,Male-shufB
049_Lamp5_Gaba,H3K27me3,Male-shufB
009_L2_3_IT_PIR_ENTl_Glut,H3K9me3,Male-shufA
039_OB_Meis2_Thsd7b_Gaba,H3K9me3,Female-shufB
093_RT_ZI_Gnb3_Gaba,H3K4me1,Male-shufB
053_Sst_Gaba,H3K27me3,Female-shufB
124_MPN_MPO_PVpo_Hmx2_Glut,H3K9me3,Female-shufA
055_STR_Lhx8_Gaba,H3K27me3,Male-shufB
108_ARH_PVp_Tbx3_Gaba,H3K27me3,Female-shufB
015_ENTmv_PA_COAp_Glut,H3K9me3,Female-shufA
005_L5_IT_CTX_Glut,H3K9me3,Female-shufA
070_LSX_Prdm12_Slit2_Gaba,H3K27ac,Female-shufB
