names,npeak,ncell,nreads
029_L6b_CTX_Glut-H3K27ac-MaleB,20967,69,128845
030_L6_CT_CTX_Glut-H3K27ac-MaleA,142137,648,1712308
030_L6_CT_CTX_Glut-H3K27ac-MaleB,151097,906,1800889
031_CT_SUB_Glut-H3K27ac-MaleA,109490,349,1262884
031_CT_SUB_Glut-H3K27ac-MaleB,38912,175,392162
032_L5_NP_CTX_Glut-H3K27ac-MaleA,18981,110,272822
032_L5_NP_CTX_Glut-H3K27ac-MaleB,23270,185,317529
033_NP_SUB_Glut-H3K27ac-MaleA,124399,493,1453176
033_NP_SUB_Glut-H3K27ac-MaleB,98070,391,1221232
034_NP_PPP_Glut-H3K27ac-MaleA,37293,101,368674
034_NP_PPP_Glut-H3K27ac-MaleB,17828,47,93024
036_HPF_CR_Glut-H3K27ac-MaleA,32640,134,305976
036_HPF_CR_Glut-H3K27ac-MaleB,33899,74,174478
037_DG_Glut-H3K27ac-MaleA,628919,11696,36851456
037_DG_Glut-H3K27ac-MaleB,699317,11401,40154805
038_DG_PIR_Ex_IMN-H3K27ac-MaleA,194182,1340,4195422
038_DG_PIR_Ex_IMN-H3K27ac-MaleB,327958,1686,6428502
039_OB_Meis2_Thsd7b_Gaba-H3K27ac-MaleA,20474,134,257984
039_OB_Meis2_Thsd7b_Gaba-H3K27ac-MaleB,23398,215,325595
041_OB_in_Frmd7_Gaba-H3K27ac-MaleA,10052,37,51094
041_OB_in_Frmd7_Gaba-H3K27ac-MaleB,11578,10,16602
042_OB_out_Frmd7_Gaba-H3K27ac-MaleA,6106,3,9265
042_OB_out_Frmd7_Gaba-H3K27ac-MaleB,5984,5,7472
044_OB_Dopa_Gaba-H3K27ac-MaleA,1551,1,1740
044_OB_Dopa_Gaba-H3K27ac-MaleB,8860,6,10923
045_OB_STR_CTX_Inh_IMN-H3K27ac-MaleA,150130,920,3209301
045_OB_STR_CTX_Inh_IMN-H3K27ac-MaleB,242169,1457,7052472
046_Vip_Gaba-H3K27ac-MaleA,208678,742,2306809
046_Vip_Gaba-H3K27ac-MaleB,102134,540,1263147
047_Sncg_Gaba-H3K27ac-MaleA,111737,450,1313869
047_Sncg_Gaba-H3K27ac-MaleB,120176,613,1441446
048_RHP_COA_Ndnf_Gaba-H3K27ac-MaleA,107035,465,1285212
048_RHP_COA_Ndnf_Gaba-H3K27ac-MaleB,74406,440,1019558
049_Lamp5_Gaba-H3K27ac-MaleA,119486,431,1399354
