names,npeak,ncell,nreads
003_L5_6_IT_TPE_ENT_Glut-H3K27ac-FemaleA,209836,1816,4250094
003_L5_6_IT_TPE_ENT_Glut-H3K27ac-FemaleB,63133,203,593313
004_L6_IT_CTX_Glut-H3K27ac-FemaleA,164802,1157,3205695
004_L6_IT_CTX_Glut-H3K27ac-FemaleB,56027,125,560803
005_L5_IT_CTX_Glut-H3K27ac-FemaleA,154379,607,1668623
005_L5_IT_CTX_Glut-H3K27ac-FemaleB,52598,65,526336
006_L4_5_IT_CTX_Glut-H3K27ac-FemaleA,257113,1990,7543434
006_L4_5_IT_CTX_Glut-H3K27ac-FemaleB,106681,147,1223396
007_L2_3_IT_CTX_Glut-H3K27ac-FemaleA,356397,2577,9914076
007_L2_3_IT_CTX_Glut-H3K27ac-FemaleB,118117,179,1379230
008_L2_3_IT_ENT_Glut-H3K27ac-FemaleA,462339,6529,19809119
008_L2_3_IT_ENT_Glut-H3K27ac-FemaleB,118752,714,2477321
009_L2_3_IT_PIR_ENTl_Glut-H3K27ac-FemaleA,307095,1941,5966212
009_L2_3_IT_PIR_ENTl_Glut-H3K27ac-FemaleB,69725,166,644994
010_IT_AON_TT_DP_Glut-H3K27ac-FemaleA,86596,294,993452
010_IT_AON_TT_DP_Glut-H3K27ac-FemaleB,24433,42,261544
011_L2_IT_ENT_po_Glut-H3K27ac-FemaleA,300385,1573,5748979
011_L2_IT_ENT_po_Glut-H3K27ac-FemaleB,97922,187,881254
012_MEA_Slc17a7_Glut-H3K27ac-FemaleA,102516,1129,2414846
012_MEA_Slc17a7_Glut-H3K27ac-FemaleB,26673,65,269769
013_COAp_Grxcr2_Glut-H3K27ac-FemaleA,28651,121,292906
013_COAp_Grxcr2_Glut-H3K27ac-FemaleB,6450,3,8833
014_LA_BLA_BMA_PA_Glut-H3K27ac-FemaleA,400973,4767,14780120
014_LA_BLA_BMA_PA_Glut-H3K27ac-FemaleB,194350,391,2174242
015_ENTmv_PA_COAp_Glut-H3K27ac-FemaleA,106418,344,899577
015_ENTmv_PA_COAp_Glut-H3K27ac-FemaleB,18655,32,97278
016_CA1_ProS_Glut-H3K27ac-FemaleA,588709,3616,28939077
016_CA1_ProS_Glut-H3K27ac-FemaleB,274145,1895,5674235
017_CA3_Glut-H3K27ac-FemaleA,438586,1790,15714843
017_CA3_Glut-H3K27ac-FemaleB,149359,933,3125248
019_L2_3_IT_PPP_Glut-H3K27ac-FemaleA,250794,3368,7302840
019_L2_3_IT_PPP_Glut-H3K27ac-FemaleB,88012,269,799243
020_L2_3_IT_RSP_Glut-H3K27ac-FemaleA,47933,199,421234
020_L2_3_IT_RSP_Glut-H3K27ac-FemaleB,17784,16,94402
021_L4_RSP_ACA_Glut-H3K27ac-FemaleA,0,0,0
021_L4_RSP_ACA_Glut-H3K27ac-FemaleB,0,0,0
022_L5_ET_CTX_Glut-H3K27ac-FemaleA,242751,1461,7242979
022_L5_ET_CTX_Glut-H3K27ac-FemaleB,78259,84,760945
023_SUB_ProS_Glut-H3K27ac-FemaleA,143158,335,2893050
023_SUB_ProS_Glut-H3K27ac-FemaleB,36662,115,394545
025_CA2_FC_IG_Glut-H3K27ac-FemaleA,141035,360,2734633
025_CA2_FC_IG_Glut-H3K27ac-FemaleB,45129,164,451627
026_NLOT_Rho_Glut-H3K27ac-FemaleA,193448,607,2117428
026_NLOT_Rho_Glut-H3K27ac-FemaleB,35956,57,362176
027_L6b_EPd_Glut-H3K27ac-FemaleA,22842,61,120175
027_L6b_EPd_Glut-H3K27ac-FemaleB,28017,8,41744
028_L6b_CT_ENT_Glut-H3K27ac-FemaleA,272449,3081,7769676
028_L6b_CT_ENT_Glut-H3K27ac-FemaleB,74070,246,672432
029_L6b_CTX_Glut-H3K27ac-FemaleA,27610,78,251650
029_L6b_CTX_Glut-H3K27ac-FemaleB,16524,10,87676
030_L6_CT_CTX_Glut-H3K27ac-FemaleA,126768,839,2574180
030_L6_CT_CTX_Glut-H3K27ac-FemaleB,53300,95,526593
031_CT_SUB_Glut-H3K27ac-FemaleA,91144,307,779045
031_CT_SUB_Glut-H3K27ac-FemaleB,10775,22,58168
032_L5_NP_CTX_Glut-H3K27ac-FemaleA,74240,198,633161
032_L5_NP_CTX_Glut-H3K27ac-FemaleB,32267,27,175668
033_NP_SUB_Glut-H3K27ac-FemaleA,135691,185,1421364
033_NP_SUB_Glut-H3K27ac-FemaleB,38640,65,202625
034_NP_PPP_Glut-H3K27ac-FemaleA,36354,80,187245
034_NP_PPP_Glut-H3K27ac-FemaleB,18508,10,28543
036_HPF_CR_Glut-H3K27ac-FemaleA,38565,49,191834
036_HPF_CR_Glut-H3K27ac-FemaleB,9768,30,50117
037_DG_Glut-H3K27ac-FemaleA,542235,3128,24273169
037_DG_Glut-H3K27ac-FemaleB,254693,2781,7682763
038_DG_PIR_Ex_IMN-H3K27ac-FemaleA,212787,1356,4539736
038_DG_PIR_Ex_IMN-H3K27ac-FemaleB,57423,225,569626
039_OB_Meis2_Thsd7b_Gaba-H3K27ac-FemaleA,138403,701,1538569
039_OB_Meis2_Thsd7b_Gaba-H3K27ac-FemaleB,25180,10,40569
041_OB_in_Frmd7_Gaba-H3K27ac-FemaleA,20001,11,31284
041_OB_in_Frmd7_Gaba-H3K27ac-FemaleB,6355,5,9605
042_OB_out_Frmd7_Gaba-H3K27ac-FemaleA,4129,2,6563
042_OB_out_Frmd7_Gaba-H3K27ac-FemaleB,9125,4,14977
044_OB_Dopa_Gaba-H3K27ac-FemaleA,5263,7,7740
044_OB_Dopa_Gaba-H3K27ac-FemaleB,0,0,0
045_OB_STR_CTX_Inh_IMN-H3K27ac-FemaleA,420295,2082,15634087
045_OB_STR_CTX_Inh_IMN-H3K27ac-FemaleB,177101,379,2041541
046_Vip_Gaba-H3K27ac-FemaleA,229608,724,2404676
046_Vip_Gaba-H3K27ac-FemaleB,32173,88,319440
047_Sncg_Gaba-H3K27ac-FemaleA,207599,702,2219896
047_Sncg_Gaba-H3K27ac-FemaleB,27820,87,283567
048_RHP_COA_Ndnf_Gaba-H3K27ac-FemaleA,131651,270,1417427
048_RHP_COA_Ndnf_Gaba-H3K27ac-FemaleB,38238,71,201460
049_Lamp5_Gaba-H3K27ac-FemaleA,158195,601,1704890
049_Lamp5_Gaba-H3K27ac-FemaleB,41031,71,212926
050_Lamp5_Lhx6_Gaba-H3K27ac-FemaleA,140975,291,1501444
050_Lamp5_Lhx6_Gaba-H3K27ac-FemaleB,36325,122,371895
051_Pvalb_chandelier_Gaba-H3K27ac-FemaleA,104550,188,877839
051_Pvalb_chandelier_Gaba-H3K27ac-FemaleB,20117,34,108622
052_Pvalb_Gaba-H3K27ac-FemaleA,186738,1380,3875576
052_Pvalb_Gaba-H3K27ac-FemaleB,41471,101,397582
053_Sst_Gaba-H3K27ac-FemaleA,221769,1858,7126922
053_Sst_Gaba-H3K27ac-FemaleB,79839,276,975175
054_STR_Prox1_Lhx6_Gaba-H3K27ac-FemaleA,149289,434,1628929
054_STR_Prox1_Lhx6_Gaba-H3K27ac-FemaleB,29061,92,304419
055_STR_Lhx8_Gaba-H3K27ac-FemaleA,61223,141,536891
055_STR_Lhx8_Gaba-H3K27ac-FemaleB,23407,37,124864
056_Sst_Chodl_Gaba-H3K27ac-FemaleA,94174,282,1070985
056_Sst_Chodl_Gaba-H3K27ac-FemaleB,40763,56,210448
057_NDB_SI_MA_STRv_Lhx8_Gaba-H3K27ac-FemaleA,105147,480,1239679
057_NDB_SI_MA_STRv_Lhx8_Gaba-H3K27ac-FemaleB,32736,40,170898
058_PAL_STR_Gaba_Chol-H3K27ac-FemaleA,117726,265,1295913
058_PAL_STR_Gaba_Chol-H3K27ac-FemaleB,24200,69,274032
059_GPe_SI_Sox6_Cyp26b1_Gaba-H3K27ac-FemaleA,36424,43,186040
059_GPe_SI_Sox6_Cyp26b1_Gaba-H3K27ac-FemaleB,4477,2,5566
060_OT_D3_Folh1_Gaba-H3K27ac-FemaleA,38440,102,345592
060_OT_D3_Folh1_Gaba-H3K27ac-FemaleB,41175,57,220493
061_STR_D1_Gaba-H3K27ac-FemaleA,653489,7393,43157763
061_STR_D1_Gaba-H3K27ac-FemaleB,278274,2846,8554875
062_STR_D2_Gaba-H3K27ac-FemaleA,542604,5692,28432119
062_STR_D2_Gaba-H3K27ac-FemaleB,263558,2184,5601552
063_STR_D1_Sema5a_Gaba-H3K27ac-FemaleA,282373,1273,8317470
063_STR_D1_Sema5a_Gaba-H3K27ac-FemaleB,102460,302,1251899
064_STR_PAL_Chst9_Gaba-H3K27ac-FemaleA,288175,2550,5699125
064_STR_PAL_Chst9_Gaba-H3K27ac-FemaleB,86115,210,796856
065_IA_Mgp_Gaba-H3K27ac-FemaleA,20100,48,104824
065_IA_Mgp_Gaba-H3K27ac-FemaleB,12381,4,19044
066_NDB_SI_ant_Prdm12_Gaba-H3K27ac-FemaleA,37676,61,193763
066_NDB_SI_ant_Prdm12_Gaba-H3K27ac-FemaleB,12965,8,17988
070_LSX_Prdm12_Slit2_Gaba-H3K27ac-FemaleA,3168,1,4383
070_LSX_Prdm12_Slit2_Gaba-H3K27ac-FemaleB,2983,1,3673
073_MEA_BST_Sox6_Gaba-H3K27ac-FemaleA,102416,952,2447443
073_MEA_BST_Sox6_Gaba-H3K27ac-FemaleB,33714,68,332528
074_MEA_BST_Lhx6_Sp9_Gaba-H3K27ac-FemaleA,133975,627,1516594
074_MEA_BST_Lhx6_Sp9_Gaba-H3K27ac-FemaleB,40104,54,210776
075_MEA_BST_Lhx6_Nr2e1_Gaba-H3K27ac-FemaleA,78210,436,978516
075_MEA_BST_Lhx6_Nr2e1_Gaba-H3K27ac-FemaleB,21651,28,114445
076_MEA_BST_Lhx6_Nfib_Gaba-H3K27ac-FemaleA,94674,389,826534
076_MEA_BST_Lhx6_Nfib_Gaba-H3K27ac-FemaleB,19748,38,107729
077_CEA_BST_Gal_Avp_Gaba-H3K27ac-FemaleA,28842,141,283893
077_CEA_BST_Gal_Avp_Gaba-H3K27ac-FemaleB,9573,10,49617
078_SI_MA_ACB_Ebf1_Bnc2_Gaba-H3K27ac-FemaleA,22347,33,115934
078_SI_MA_ACB_Ebf1_Bnc2_Gaba-H3K27ac-FemaleB,9312,3,14323
079_CEA_BST_Six3_Cyp26b1_Gaba-H3K27ac-FemaleA,114141,1240,2602631
079_CEA_BST_Six3_Cyp26b1_Gaba-H3K27ac-FemaleB,39603,62,210021
080_CEA_AAA_BST_Six3_Sp9_Gaba-H3K27ac-FemaleA,201103,2044,6484864
080_CEA_AAA_BST_Six3_Sp9_Gaba-H3K27ac-FemaleB,70699,120,664568
081_ACB_BST_FS_D1_Gaba-H3K27ac-FemaleA,83220,148,716155
081_ACB_BST_FS_D1_Gaba-H3K27ac-FemaleB,23207,33,126526
082_CEA_BST_Ebf1_Pdyn_Gaba-H3K27ac-FemaleA,201869,957,2175505
082_CEA_BST_Ebf1_Pdyn_Gaba-H3K27ac-FemaleB,40794,84,399490
083_CEA_BST_Rai14_Pdyn_Crh_Gaba-H3K27ac-FemaleA,15273,49,82812
083_CEA_BST_Rai14_Pdyn_Crh_Gaba-H3K27ac-FemaleB,12023,5,16751
084_BST_SI_AAA_Six3_Slc22a3_Gaba-H3K27ac-FemaleA,13623,21,70347
084_BST_SI_AAA_Six3_Slc22a3_Gaba-H3K27ac-FemaleB,8931,5,12676
085_SI_MPO_LPO_Lhx8_Gaba-H3K27ac-FemaleA,53153,144,474846
085_SI_MPO_LPO_Lhx8_Gaba-H3K27ac-FemaleB,21972,41,119425
086_MPO_ADP_Lhx8_Gaba-H3K27ac-FemaleA,256384,543,5248454
086_MPO_ADP_Lhx8_Gaba-H3K27ac-FemaleB,80391,171,774972
087_MPN_MPO_LPO_Lhx6_Zfhx3_Gaba-H3K27ac-FemaleA,44509,45,223919
087_MPN_MPO_LPO_Lhx6_Zfhx3_Gaba-H3K27ac-FemaleB,17136,23,90640
088_BST_Tac2_Gaba-H3K27ac-FemaleA,12316,11,63926
088_BST_Tac2_Gaba-H3K27ac-FemaleB,18650,6,24748
089_PVR_Six3_Sox3_Gaba-H3K27ac-FemaleA,104128,163,1130179
089_PVR_Six3_Sox3_Gaba-H3K27ac-FemaleB,25939,83,293389
090_BST_MPN_Six3_Nrgn_Gaba-H3K27ac-FemaleA,81046,139,691031
090_BST_MPN_Six3_Nrgn_Gaba-H3K27ac-FemaleB,25649,44,136152
091_ARH_PVi_Six6_Dopa_Gaba-H3K27ac-FemaleA,13248,4,20565
091_ARH_PVi_Six6_Dopa_Gaba-H3K27ac-FemaleB,0,0,0
092_TMv_PMv_Tbx3_Hist_Gaba-H3K27ac-FemaleA,20893,7,30280
092_TMv_PMv_Tbx3_Hist_Gaba-H3K27ac-FemaleB,12869,6,17449
093_RT_ZI_Gnb3_Gaba-H3K27ac-FemaleA,51403,152,455452
093_RT_ZI_Gnb3_Gaba-H3K27ac-FemaleB,16882,36,91267
094_SCH_Six6_Cdc14a_Gaba-H3K27ac-FemaleA,58070,107,491036
094_SCH_Six6_Cdc14a_Gaba-H3K27ac-FemaleB,25927,62,134159
096_PVHd_Gsc_Gaba-H3K27ac-FemaleA,16392,16,83905
096_PVHd_Gsc_Gaba-H3K27ac-FemaleB,24545,11,33688
097_PVHd_SBPV_Six3_Prox1_Gaba-H3K27ac-FemaleA,71815,120,622168
097_PVHd_SBPV_Six3_Prox1_Gaba-H3K27ac-FemaleB,21716,50,114140
098_AHN_SBPV_PVHd_Pdrm12_Gaba-H3K27ac-FemaleA,85841,190,961275
098_AHN_SBPV_PVHd_Pdrm12_Gaba-H3K27ac-FemaleB,40993,78,209244
099_SBPV_PVa_Six6_Satb2_Gaba-H3K27ac-FemaleA,71265,116,610038
099_SBPV_PVa_Six6_Satb2_Gaba-H3K27ac-FemaleB,34660,73,180797
100_AHN_Onecut3_Gaba-H3K27ac-FemaleA,53857,74,466765
100_AHN_Onecut3_Gaba-H3K27ac-FemaleB,18068,33,96484
101_ZI_Pax6_Gaba-H3K27ac-FemaleA,118868,242,1292131
101_ZI_Pax6_Gaba-H3K27ac-FemaleB,32503,130,344042
102_DMH_LHA_Gsx1_Gaba-H3K27ac-FemaleA,59053,106,507573
102_DMH_LHA_Gsx1_Gaba-H3K27ac-FemaleB,16391,41,88928
103_PVHd_DMH_Lhx6_Gaba-H3K27ac-FemaleA,32478,51,298711
103_PVHd_DMH_Lhx6_Gaba-H3K27ac-FemaleB,18938,33,102456
104_TU_ARH_Otp_Six6_Gaba-H3K27ac-FemaleA,101921,209,1126178
104_TU_ARH_Otp_Six6_Gaba-H3K27ac-FemaleB,23398,100,260138
105_TMd_DMH_Foxd2_Gaba-H3K27ac-FemaleA,15191,5,22747
105_TMd_DMH_Foxd2_Gaba-H3K27ac-FemaleB,3007,1,4137
106_PVpo_VMPO_MPN_Hmx2_Gaba-H3K27ac-FemaleA,192508,386,2080746
106_PVpo_VMPO_MPN_Hmx2_Gaba-H3K27ac-FemaleB,44539,177,459637
107_DMH_Hmx2_Gaba-H3K27ac-FemaleA,185186,294,1977630
107_DMH_Hmx2_Gaba-H3K27ac-FemaleB,56035,159,562969
108_ARH_PVp_Tbx3_Gaba-H3K27ac-FemaleA,352839,1122,13861185
108_ARH_PVp_Tbx3_Gaba-H3K27ac-FemaleB,196411,377,2276982
109_LGv_ZI_Otx2_Gaba-H3K27ac-FemaleA,12068,8,58542
109_LGv_ZI_Otx2_Gaba-H3K27ac-FemaleB,5652,3,7980
112_GPi_Tbr1_Cngb3_Gaba_Glut-H3K27ac-FemaleA,13927,14,71832
112_GPi_Tbr1_Cngb3_Gaba_Glut-H3K27ac-FemaleB,8305,18,44392
113_MEA_COA_BMA_Ccdc42_Glut-H3K27ac-FemaleA,236005,2199,4929162
113_MEA_COA_BMA_Ccdc42_Glut-H3K27ac-FemaleB,65766,128,607834
114_COAa_PAA_MEA_Barhl2_Glut-H3K27ac-FemaleA,109535,1149,2526250
114_COAa_PAA_MEA_Barhl2_Glut-H3K27ac-FemaleB,43002,88,447317
116_AVPV_MEPO_SFO_Tbr1_Glut-H3K27ac-FemaleA,74844,96,638326
116_AVPV_MEPO_SFO_Tbr1_Glut-H3K27ac-FemaleB,13216,21,70127
1160_Astro_NT_NN_2-H3K27ac-FemaleA,293458,3318,6356228
1160_Astro_NT_NN_2-H3K27ac-FemaleB,160152,1785,3274459
1161_Astro_TE_NN_1-H3K27ac-FemaleA,271881,2153,5736993
1161_Astro_TE_NN_1-H3K27ac-FemaleB,154892,957,1836865
1162_Astro_TE_NN_2-H3K27ac-FemaleA,79575,188,668260
1162_Astro_TE_NN_2-H3K27ac-FemaleB,24536,93,126279
1163_Astro_TE_NN_3-H3K27ac-FemaleA,469263,9893,23234391
1163_Astro_TE_NN_3-H3K27ac-FemaleB,230035,3062,5296224
1165_Astro_TE_NN_5-H3K27ac-FemaleA,118210,365,1012079
1165_Astro_TE_NN_5-H3K27ac-FemaleB,42661,140,220000
117_LHA_Barhl2_Glut-H3K27ac-FemaleA,64824,104,565799
117_LHA_Barhl2_Glut-H3K27ac-FemaleB,38821,56,206272
1173_Tanycyte_NN_2-H3K27ac-FemaleA,102309,247,860782
1173_Tanycyte_NN_2-H3K27ac-FemaleB,24428,76,124745
1175_Ependymal_NN_1-H3K27ac-FemaleA,243520,2512,7543652
1175_Ependymal_NN_1-H3K27ac-FemaleB,168716,1096,2001936
1178_CHOR_NN_1-H3K27ac-FemaleA,268051,1164,5368030
1178_CHOR_NN_1-H3K27ac-FemaleB,82433,440,746790
1179_OPC_NN_1-H3K27ac-FemaleA,342020,4583,13318375
1179_OPC_NN_1-H3K27ac-FemaleB,193380,965,2241647
118_ADP_MPO_Trp73_Glut-H3K27ac-FemaleA,45311,33,225209
118_ADP_MPO_Trp73_Glut-H3K27ac-FemaleB,29385,17,39345
1180_OPC_NN_2-H3K27ac-FemaleA,26748,23,132773
1180_OPC_NN_2-H3K27ac-FemaleB,9649,6,13703
1181_COP_NN_1-H3K27ac-FemaleA,120788,474,1315825
1181_COP_NN_1-H3K27ac-FemaleB,26898,140,288417
1182_NFOL_NN_2-H3K27ac-FemaleA,62199,178,535990
1182_NFOL_NN_2-H3K27ac-FemaleB,23612,61,124424
1183_MFOL_NN_3-H3K27ac-FemaleA,184790,649,2050514
1183_MFOL_NN_3-H3K27ac-FemaleB,104082,419,944247
1184_MOL_NN_4-H3K27ac-FemaleA,436943,4876,20267700
1184_MOL_NN_4-H3K27ac-FemaleB,385365,4809,15091017
1186_ABC_NN_1-H3K27ac-FemaleA,91324,646,786327
1186_ABC_NN_1-H3K27ac-FemaleB,45266,327,412784
1187_VLMC_NN_1-H3K27ac-FemaleA,151368,1603,2880277
1187_VLMC_NN_1-H3K27ac-FemaleB,163430,1192,1957925
1188_VLMC_NN_2-H3K27ac-FemaleA,41846,199,351879
1188_VLMC_NN_2-H3K27ac-FemaleB,48020,180,255336
1189_VLMC_NN_3-H3K27ac-FemaleA,19177,42,95455
1189_VLMC_NN_3-H3K27ac-FemaleB,13847,16,21632
119_SI_MA_LPO_LHA_Skor1_Glut-H3K27ac-FemaleA,103094,434,1201807
119_SI_MA_LPO_LHA_Skor1_Glut-H3K27ac-FemaleB,23799,39,129934
1191_Peri_NN_1-H3K27ac-FemaleA,33157,178,286398
1191_Peri_NN_1-H3K27ac-FemaleB,38838,153,207324
1192_SMC_NN_1-H3K27ac-FemaleA,20279,18,31437
1192_SMC_NN_1-H3K27ac-FemaleB,9229,12,13826
1193_Endo_NN_1-H3K27ac-FemaleA,203941,1957,4882099
1193_Endo_NN_1-H3K27ac-FemaleB,87813,532,1070970
1194_Microglia_NN_1-H3K27ac-FemaleA,136998,790,1667012
1194_Microglia_NN_1-H3K27ac-FemaleB,67160,423,627891
1195_BAM_NN_1-H3K27ac-FemaleA,20192,115,131872
1195_BAM_NN_1-H3K27ac-FemaleB,16988,21,24772
120_MEA_Otp_Foxp2_Glut-H3K27ac-FemaleA,302140,1934,12150784
120_MEA_Otp_Foxp2_Glut-H3K27ac-FemaleB,95041,117,1093967
121_MEA_BST_Otp_Zic2_Glut-H3K27ac-FemaleA,39321,96,207210
121_MEA_BST_Otp_Zic2_Glut-H3K27ac-FemaleB,8420,13,46923
122_LHA_MEA_Otp_Glut-H3K27ac-FemaleA,33918,172,318698
122_LHA_MEA_Otp_Glut-H3K27ac-FemaleB,12392,18,64470
123_DMH_Nkx2_4_Glut-H3K27ac-FemaleA,35670,41,179707
123_DMH_Nkx2_4_Glut-H3K27ac-FemaleB,21035,20,28906
124_MPN_MPO_PVpo_Hmx2_Glut-H3K27ac-FemaleA,34093,29,171005
124_MPN_MPO_PVpo_Hmx2_Glut-H3K27ac-FemaleB,8886,21,47718
125_DMH_Hmx2_Glut-H3K27ac-FemaleA,33204,50,289212
125_DMH_Hmx2_Glut-H3K27ac-FemaleB,9587,22,51369
126_ARH_PVp_Tbx3_Glut-H3K27ac-FemaleA,99918,208,1087768
126_ARH_PVp_Tbx3_Glut-H3K27ac-FemaleB,22833,91,249784
127_DMH_LHA_Vgll2_Glut-H3K27ac-FemaleA,79419,104,675143
127_DMH_LHA_Vgll2_Glut-H3K27ac-FemaleB,24524,48,128340
128_VMH_Fezf1_Glut-H3K27ac-FemaleA,49218,64,428140
128_VMH_Fezf1_Glut-H3K27ac-FemaleB,12049,22,65558
129_VMH_Nr5a1_Glut-H3K27ac-FemaleA,183651,359,1980804
129_VMH_Nr5a1_Glut-H3K27ac-FemaleB,47084,178,477564
130_LHA_Pmch_Glut-H3K27ac-FemaleA,42350,31,212762
130_LHA_Pmch_Glut-H3K27ac-FemaleB,15698,9,21366
131_LHA_AHN_PVH_Otp_Trh_Glut-H3K27ac-FemaleA,96509,167,825444
131_LHA_AHN_PVH_Otp_Trh_Glut-H3K27ac-FemaleB,31969,61,168994
132_AHN_RCH_LHA_Otp_Fezf1_Glut-H3K27ac-FemaleA,116087,218,1270949
132_AHN_RCH_LHA_Otp_Fezf1_Glut-H3K27ac-FemaleB,21480,97,246241
133_PVH_SO_PVa_Otp_Glut-H3K27ac-FemaleA,94600,187,1043505
133_PVH_SO_PVa_Otp_Glut-H3K27ac-FemaleB,38187,73,199407
134_PH_ant_LHA_Otp_Bsx_Glut-H3K27ac-FemaleA,51847,87,466212
134_PH_ant_LHA_Otp_Bsx_Glut-H3K27ac-FemaleB,22281,37,119988
135_STN_PSTN_Pitx2_Glut-H3K27ac-FemaleA,216318,1785,4445012
135_STN_PSTN_Pitx2_Glut-H3K27ac-FemaleB,96541,377,1156622
136_PMv_TMv_Pitx2_Glut-H3K27ac-FemaleA,27196,23,137129
136_PMv_TMv_Pitx2_Glut-H3K27ac-FemaleB,11602,17,65597
137_PH_an_Pitx2_Glut-H3K27ac-FemaleA,9976,12,51372
137_PH_an_Pitx2_Glut-H3K27ac-FemaleB,9430,8,12676
138_PH_Pitx2_Glut-H3K27ac-FemaleA,13764,3,22517
138_PH_Pitx2_Glut-H3K27ac-FemaleB,0,0,0
139_PH_LHA_Foxb1_Glut-H3K27ac-FemaleA,173500,1089,3719136
139_PH_LHA_Foxb1_Glut-H3K27ac-FemaleB,87137,235,1058898
140_PMd_LHA_Foxb1_Glut-H3K27ac-FemaleA,4963,1,7268
140_PMd_LHA_Foxb1_Glut-H3K27ac-FemaleB,0,0,0
141_PH_SUM_Foxa1_Glut-H3K27ac-FemaleA,25088,22,127358
141_PH_SUM_Foxa1_Glut-H3K27ac-FemaleB,25209,13,36690
142_HY_Gnrh1_Glut-H3K27ac-FemaleA,227728,959,4740473
142_HY_Gnrh1_Glut-H3K27ac-FemaleB,105945,535,1330097
143_MM_ant_Foxb1_Glut-H3K27ac-FemaleA,8145,3,12608
143_MM_ant_Foxb1_Glut-H3K27ac-FemaleB,0,0,0
149_PVT_PT_Ntrk1_Glut-H3K27ac-FemaleA,17013,16,85491
149_PVT_PT_Ntrk1_Glut-H3K27ac-FemaleB,9267,5,12662
151_TH_Prkcd_Grin2c_Glut-H3K27ac-FemaleA,33360,26,168295
151_TH_Prkcd_Grin2c_Glut-H3K27ac-FemaleB,8727,14,48325
152_RE_Xi_Nox4_Glut-H3K27ac-FemaleA,109002,158,1175641
152_RE_Xi_Nox4_Glut-H3K27ac-FemaleB,21409,57,248421
156_MB_ant_ve_Dmrta2_Glut-H3K27ac-FemaleA,128856,1109,2659823
156_MB_ant_ve_Dmrta2_Glut-H3K27ac-FemaleB,61632,230,586393
159_IF_RL_CLI_PAG_Foxa1_Glut-H3K27ac-FemaleA,170364,869,3639914
159_IF_RL_CLI_PAG_Foxa1_Glut-H3K27ac-FemaleB,106148,209,1207386
166_MRN_Pou3f1_C1ql4_Glut-H3K27ac-FemaleA,29354,65,151829
166_MRN_Pou3f1_C1ql4_Glut-H3K27ac-FemaleB,23112,12,35794
168_SPA_SPFm_SPFp_POL_PIL_PoT_Sp9_Glut-H3K27ac-FemaleA,27868,19,41455
168_SPA_SPFm_SPFp_POL_PIL_PoT_Sp9_Glut-H3K27ac-FemaleB,5075,4,7323
180_SCiw_Pitx2_Glut-H3K27ac-FemaleA,202849,928,2184734
180_SCiw_Pitx2_Glut-H3K27ac-FemaleB,33843,146,347154
191_PAG_MRN_Rln3_Gaba-H3K27ac-FemaleA,18528,10,26774
191_PAG_MRN_Rln3_Gaba-H3K27ac-FemaleB,0,0,0
195_SNr_VTA_Pax5_Npas1_Gaba-H3K27ac-FemaleA,227464,933,2391906
195_SNr_VTA_Pax5_Npas1_Gaba-H3K27ac-FemaleB,53783,169,531311
196_PAG_PPN_Pax5_Sox21_Gaba-H3K27ac-FemaleA,52999,121,459533
196_PAG_PPN_Pax5_Sox21_Gaba-H3K27ac-FemaleB,32172,35,172697
197_SNr_Six3_Gaba-H3K27ac-FemaleA,171027,751,1849250
197_SNr_Six3_Gaba-H3K27ac-FemaleB,32377,87,324211
199_PAG_MRN_RN_Foxa2_Gaba-H3K27ac-FemaleA,187683,346,2051531
199_PAG_MRN_RN_Foxa2_Gaba-H3K27ac-FemaleB,75947,115,724836
200_PAG_ND_PCG_Onecut1_Gaba-H3K27ac-FemaleA,52585,215,470763
200_PAG_ND_PCG_Onecut1_Gaba-H3K27ac-FemaleB,22612,42,120687
202_PRT_Tcf7l2_Gaba-H3K27ac-FemaleA,92601,467,1063895
202_PRT_Tcf7l2_Gaba-H3K27ac-FemaleB,43648,109,228655
203_LGv_SPFp_SPFm_Nkx2_2_Tcf7l2_Gaba-H3K27ac-FemaleA,35190,73,179316
203_LGv_SPFp_SPFm_Nkx2_2_Tcf7l2_Gaba-H3K27ac-FemaleB,18189,11,26777
213_SCsg_Gabrr2_Gaba-H3K27ac-FemaleA,24266,13,36721
213_SCsg_Gabrr2_Gaba-H3K27ac-FemaleB,7378,2,13192
214_IPN_Otp_Crisp1_Gaba-H3K27ac-FemaleA,114799,449,1266186
214_IPN_Otp_Crisp1_Gaba-H3K27ac-FemaleB,24668,69,261683
215_SNc_VTA_RAmb_Foxa1_Dopa-H3K27ac-FemaleA,170735,1091,3583736
215_SNc_VTA_RAmb_Foxa1_Dopa-H3K27ac-FemaleB,81604,164,757898
216_MB_MY_Tph2_Glut_Sero-H3K27ac-FemaleA,42117,94,212898
216_MB_MY_Tph2_Glut_Sero-H3K27ac-FemaleB,9671,20,52109
231_IPN_LDT_Vsx2_Nkx6_1_Glut-H3K27ac-FemaleA,16887,35,87373
231_IPN_LDT_Vsx2_Nkx6_1_Glut-H3K27ac-FemaleB,20381,7,30282
268_CS_PRNr_DR_En1_Sox2_Gaba-H3K27ac-FemaleA,10877,21,55833
268_CS_PRNr_DR_En1_Sox2_Gaba-H3K27ac-FemaleB,4490,3,5528
001_CLA_EPd_CTX_Car3_Glut-H3K27me3-MaleA,57290,107,597339
