,Gene,RTS,Priority
277,GNAS-AS1,0.151206932,Y
278,LINC01475,0.151013986,Y
279,TBX2,0.15044345,Y
280,HOXC-AS2,0.150284505,Y
281,WNT3A,0.149969406,Y
282,PPP2R2C,0.149473046,Y
283,COMP,0.149359711,Y
284,GNAS,0.149170938,Y
285,MIR129-2,0.148628975,Y
286,FOXL2,0.14800736,Y
287,GBX1,0.147799522,Y
288,NFIX,0.147445868,Y
289,TWIST1,0.146723096,Y
290,MAFB,0.146154243,Y
291,PDE2A,0.145906942,Y
292,MROH5,0.144683806,Y
293,GATA6,0.144589787,Y
294,HOTAIR,0.143850508,Y
295,INHBB,0.143683721,Y
296,NR5A2,0.143565724,Y
297,C1orf94,0.143548113,Y
298,TFAP2D,0.14308983,Y
299,FOXC2,0.142723091,Y
300,SLC8A2,0.142426911,Y
301,CTD-2194D22.4,0.142050013,Y
302,ASIC4,0.141454079,Y
303,SLC6A5,0.141291002,Y
304,LOC105375800,0.138496628,Y
305,KCNC1,0.137550137,Y
306,ANK1,0.137296846,Y
307,DUOXA1,0.134875115,Y
308,SIX6,0.134308557,Y
309,HOXB5,0.134307882,Y
310,LOC101927248,0.134139155,Y
311,RIPK4,0.133082574,Y
312,ARHGAP36,0.131788467,Y
313,LPO,0.131517827,Y
314,BLK,0.130966918,Y
315,LINC01210,0.129974131,Y
316,IRX5,0.129626203,Y
317,IRX6,0.129402821,Y
318,MPPED1,0.128922689,Y
319,CPLX1,0.128732036,Y
320,PRDM8,0.128649032,Y
321,ELFN2,0.12859838,Y
322,SYT7,0.128064956,Y
323,INS-IGF2,0.127907562,Y
324,HELT,0.127277348,Y
325,NR2F1,0.125768882,Y
326,NAT16,0.125356029,Y
327,C17orf102,0.123190682,Y
328,HOXC11,0.122927939,Y
329,GJA3,0.122648634,Y
330,TAL1,0.122534593,Y
331,CPLX4,0.120876971,Y
332,SHOX2,0.119988332,Y
333,IRF4,0.119543032,Y
334,CYP26C1,0.119443092,Y
335,FOXB2,0.119384223,Y
336,DMRT2,0.118997407,Y
337,HOXC-AS1,0.118792306,Y
338,SLC6A12,0.118151616,Y
339,PHACTR3,0.117515089,Y
340,MIR1-1HG,0.116822388,Y
341,XKR6,0.116816563,Y
342,LOC105378853,0.116466645,Y
343,MIR124-3,0.116081949,Y
344,FAM172A,0.115950021,Y
345,SKOR1,0.115655595,Y
346,LHX8,0.115352025,Y
347,EPHA10,0.11504238,Y
348,BMP7,0.114480553,Y
349,LOC100130417,0.11446648,Y
350,GFY,0.114393826,Y
351,LOC100507283,0.114188127,Y
352,MT1B,0.11376869,Y
353,CRNDE,0.113712834,Y
354,IHH,0.113414163,Y
355,RAET1K,0.113401922,Y
356,DBX1,0.11323414,Y
357,C5orf38,0.113221215,Y
358,LOC101928416,0.113143705,Y
359,FBXL16,0.113062364,Y
360,IGF2,0.112894476,Y
361,DIGIT,0.112030272,Y
362,VSTM2L,0.111972797,Y
363,DMTN,0.111446663,Y
364,CDC20B,0.111071666,Y
365,LOC101927437,0.110571081,Y
366,MEIS2,0.110024507,Y
367,POU2F3,0.109970563,Y
368,OSR1,0.10949973,Y
369,MIR449C,0.109162088,Y
370,MIR3131,0.108917346,Y
371,GRIK3,0.108242315,Y
372,IGF2-AS,0.106697882,Y
373,SEZ6,0.105930513,Y
374,OLFM1,0.105571309,Y
375,INSRR,0.104061141,Y
376,MIR449B,0.103712689,Y
377,MIR449A,0.103511481,Y
378,LOC101928107,0.102956771,Y
379,FOXG1,0.10288629,Y
380,SYT5,0.102335561,Y
381,BCL11A,0.102245632,Y
382,TBX21,0.101286224,Y
383,MT1DP,0.101000094,Y
384,KNCN,0.100857457,Y
385,GSC,0.100681287,Y
386,SLC18A3,0.100121965,Y
387,NRG2,0.099983824,Y
388,CA4,0.099435186,Y
389,HLX,0.0993079,Y
390,GABBR2,0.099217581,Y
391,LINGO1,0.098274412,Y
392,LOC105372695,0.098032088,Y
393,LOC101927318,0.097956493,Y
394,GRIK4,0.096668989,Y
395,JPH3,0.096550393,Y
396,LOC100288866,0.096530641,Y
397,MEGF11,0.096159225,Y
398,SLC6A3,0.096134179,Y
399,SLIT1,0.095658855,Y
400,LOC105370424,0.094605868,Y
401,TBR1,0.093634384,Y
402,CUX2,0.093248448,Y
403,GFI1B,0.092835145,Y
404,VSTM2B,0.091839791,Y
405,ECEL1,0.091403956,Y
406,LINC01305,0.091348026,Y
407,DNAJC22,0.091005159,Y
408,TOB2P1,0.090396442,Y
409,LOC727993,0.090334119,Y
410,DMBX1,0.090104165,Y
411,PPIE,0.089880418,Y
412,CYP26A1,0.089731081,Y
413,BARHL1,0.088966108,Y
