L1_2_3_4,bestld,note
c415,r0.5_seed2,auto
c416,r0.2_seed0,auto
c417,r0.2_seed1,auto
c418,r0.8_seed2,r0.1_seed0;dirty
c5,r0.1_seed6,r0.5_seed7;dirty
c500,r1.2_seed9,auto
c5000000,r0.3_seed2,r0.1_seed0
c5000001,r0.5_seed9,auto
c5000002,r0.5_seed0,r0.1_seed0
c5000003,r0.5_seed7,r0.1_seed0
c5000004,r0.6_seed4,auto
c5000005,r0.6_seed9,r0.1_seed0
c5000006,r0.5_seed0,r0.1_seed0
c5000007,r0.6_seed7,r0.1_seed0
c5000008,r0.6_seed6,r0.3_seed1
c5000009,r0.5_seed3,r0.1_seed0
c5000010,r0.5_seed5,r0.1_seed0
c5000011,r0.6_seed4,r0.1_seed0
c5000012,r0.5_seed7,r0.1_seed0
c5000013,r0.6_seed7,r0.1_seed0
c5000014,r0.5_seed1,r0.1_seed0
c5000015,r0.9_seed3,r0.1_seed0
c5000016,r0.8_seed7,r0.1_seed0
c5000017,r0.7_seed4,r0.1_seed0
c5000200,r0.5_seed6,auto
c5000201,r0.6_seed7,r0.1_seed0
c5000202,r0.6_seed2,r0.1_seed0
c5000203,r0.5_seed3,r0.1_seed0
c5000204,r0.6_seed7,r0.1_seed0
c5000205,r1.2_seed0,r0.1_seed0
c5000206,r1.2_seed3,r0.1_seed0
c5000207,r0.6_seed3,r0.1_seed0
c5000208,r1.1_seed8,r0.1_seed0
c5000209,r0.6_seed6,r0.1_seed0
c5000210,r0.5_seed6,r0.1_seed0
c5000211,r0.6_seed6,r0.1_seed0
c5000212,r1.0_seed8,r0.1_seed0
c5000213,r0.7_seed5,r0.1_seed0
c5000214,r0.9_seed3,r0.1_seed0
c5000215,r1.2_seed0,r0.1_seed0
c5000216,r1.4_seed7,r0.1_seed0
c5000217,r0.2_seed0,auto
c5000218,r1.4_seed5,r0.1_seed0
c5000219,r0.6_seed3,r0.1_seed0
c5000220,r0.8_seed8,r0.1_seed0
c5000221,r1.4_seed1,r0.1_seed0
c5000222,r1.3_seed0,r0.1_seed0
c5000223,r0.7_seed8,r0.1_seed0
c5000224,r1.4_seed6,r0.1_seed0
c5000300,r0.2_seed0,auto
c5000301,r0.7_seed9,r0.1_seed0
c5000302,r0.4_seed4,auto
c5000303,r0.6_seed2,r0.1_seed0
c5000304,r0.6_seed4,r0.1_seed0
