L1_2_3,bestld,note
c20314,r0.1_seed0,r0.7_seed7;noL5
c20315,r0.1_seed0,r0.7_seed4;noL5
c20316,r0.1_seed0,r0.7_seed5;noL5
c20317,r0.1_seed0,r0.7_seed6;noL5
c20318,r0.1_seed0,r1.5_seed5;noL5
c20319,r0.6_seed3,auto;noL5
c20320,r0.1_seed0,r0.7_seed6;noL5
c20321,r0.6_seed7,auto;noL5
c20322,r0.1_seed0,r0.7_seed0;noL5
c20323,r0.1_seed0,r1.5_seed3;noL5
c20324,r0.1_seed0,r0.6_seed3;noL5
c20325,r0.1_seed0,r0.5_seed8;noL5
c20326,r0.1_seed0,r0.7_seed5;noL5
c20400,r0.5_seed8,auto;noL5
c20401,r0.6_seed9,auto;noL5
c20402,r0.5_seed3,auto;noL5
c20403,r0.1_seed0,r0.6_seed4;noL5
c20404,r0.4_seed7,auto;noL5
c20405,r0.7_seed5,auto;noL5
c20406,r0.7_seed3,auto;noL5
c20407,r0.1_seed0,r0.8_seed8;noL5
c20408,r0.1_seed0,r0.7_seed3;noL5
c20409,r0.1_seed0,r0.6_seed7;noL5
c20410,r0.1_seed0,r1.5_seed6;noL5
c20411,r0.1_seed0,r0.7_seed0;noL5
c20412,r0.1_seed0,r0.6_seed4;noL5
c20413,r0.1_seed0,r0.6_seed6;noL5
c20414,r0.1_seed0,r0.8_seed9;noL5
c20415,r0.6_seed9,auto;noL5
c20416,r0.1_seed0,r0.8_seed2;noL5
c20417,r0.1_seed0,r0.8_seed9;noL5
c20418,r0.1_seed0,r0.6_seed0;noL5
c20419,r0.1_seed0,r0.6_seed4;noL5
c20420,r0.1_seed0,r0.7_seed9;noL5
c20421,r0.1_seed0,r0.7_seed7;noL5
c20422,r0.7_seed0,auto;noL5
c20423,r0.1_seed0,r0.8_seed4;noL5
c20424,r0.1_seed0,r0.5_seed8;noL5
c20425,r0.6_seed2,auto;noL5
c20426,r0.1_seed0,r0.6_seed9;noL5
c20427,r0.1_seed0,r1.0_seed2;noL5
c20428,r0.1_seed0,r0.7_seed6;noL5
c20429,r0.1_seed0,r0.8_seed0;noL5;dirty
c20500,r0.1_seed0,r0.5_seed5;noL5
c20501,r0.1_seed0,r0.8_seed0;noL5
c20502,r0.1_seed0,r0.7_seed3;noL5
c20503,r0.1_seed0,r0.7_seed5;noL5
c20504,r0.1_seed0,r0.8_seed3;noL5
c20505,r0.2_seed0,auto;noL5
c20506,r0.1_seed0,r0.8_seed6;noL5
c20507,r0.1_seed0,r0.9_seed9;noL5
c20508,r0.1_seed0,r0.8_seed9;noL5
c20509,r0.1_seed0,r0.8_seed0;noL5
