L1_2_3,bestld,note
c50314,r0.6_seed5,r0.1_seed0;noL5
c50315,r0.7_seed4,r0.1_seed0;noL5
c50316,r1.1_seed9,r0.1_seed0;noL5
c50400,r0.1_seed0,r0.1_seed0;noL5
c50401,r0.4_seed2,auto;noL5
c50402,r0.5_seed8,auto;noL5
c50403,r0.3_seed3,auto;noL5
c6,r1.3_seed2,r0.9_seed3
c60000,r0.7_seed9,r0.8_seed0;noL5
c60001,r0.4_seed7,r0.9_seed9;noL5
c60002,r0.2_seed7,r0.4_seed9;noL5
c60003,r0.2_seed0,r0.8_seed8;noL5
c60100,r0.4_seed7,auto;noL5
c60101,r0.2_seed9,r0.7_seed4;noL5
c60102,r0.4_seed2,r0.8_seed4;noL5
c60103,r0.2_seed6,r0.7_seed5;noL5
c60104,r0.5_seed6,auto;noL5
c60105,r0.2_seed0,r0.7_seed3;noL5
c60106,r1.2_seed7,r0.1_seed0;noL5;dirty
c60200,r0.3_seed5,r0.5_seed2;noL5
c60201,r0.4_seed3,r0.5_seed7;noL5
c60202,r0.6_seed2,r0.7_seed3;noL5
c60203,r0.3_seed5,auto;noL5
c60204,r0.4_seed2,r0.5_seed2;noL5
c60205,r0.3_seed3,r0.8_seed4;noL5
c7,r0.2_seed7,r0.5_seed5
c70000,r0.5_seed1,r0.7_seed8;noL5
c70001,r0.6_seed9,r0.1_seed0;noL5
c70002,r0.6_seed7,r0.1_seed0;noL5
c70003,r0.3_seed6,auto;noL5
c70004,r1.1_seed8,r0.1_seed0;noL5
c70005,r0.2_seed0,auto;noL5
c70006,r0.6_seed4,r0.1_seed0;noL5
c70007,r0.6_seed3,r0.1_seed0;noL5
c70008,r0.6_seed2,r0.1_seed0;noL5
c70009,r0.6_seed4,r0.1_seed0;noL5
c70010,r0.7_seed2,r0.1_seed0;noL5
c70011,r0.6_seed9,r0.1_seed0;noL5
c70012,r0.6_seed1,r0.1_seed0;noL5
c70013,r0.6_seed8,r0.1_seed0;noL5
c70014,r0.8_seed1,r0.1_seed0;noL5
c70015,r0.6_seed3,auto;noL5
c70016,r0.7_seed5,r0.1_seed0;noL5
c70017,r2.0_seed9,r0.1_seed0;noL5
c70018,r1.5_seed8,r0.1_seed0;noL5
c70019,r1.5_seed7,r0.1_seed0;noL5
c70020,r0.7_seed2,r0.1_seed0;noL5
c70021,r1.4_seed3,r0.1_seed0;noL5
c70022,r1.4_seed9,r0.1_seed0;noL5
c70100,r0.3_seed0,auto;noL5
